trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period
5,GOOGL,B,LONG,2024-12-10,185.17,4.113849933311849,2024-12-12,195.167535,6.4107,188.9968,50.05,5003.66,2024-12-18,188.9023,SL,5,-40.1649,1.0,-41.1649,-0.008227,False,all
6,GOOGL,B,SHORT,2025-02-05,191.49,5.841057567743008,2025-02-07,190.84453000000002,5.6639,199.6061,49.62,4961.5,2025-03-07,173.8969,TIME,20,95.99,1.0,94.99,0.019145,True,all
7,GOOGL,B,SHORT,2025-06-20,166.66,4.529845587887818,2025-06-24,167.01645,7.4417,173.8112,50.56,5055.49,2025-06-27,173.8981,SL,4,-51.2116,1.0,-52.2116,-0.010328,False,all
8,GOOGL,B,LONG,2026-01-08,325.37,7.487344335752167,2026-01-12,325.832835,3.8388,314.6018,50.03,5002.27,2026-02-05,314.4445,SL,18,-43.7179,1.0,-44.7179,-0.00894,False,all
1,QQQ,B,LONG,2023-08-29,374.68,5.980574012456856,2023-08-31,377.19850499999995,3.3139,368.2276,50.0,4999.0,2023-09-19,368.0435,SL,13,-30.3387,1.0,-31.3387,-0.006269,False,all
2,QQQ,B,SHORT,2023-09-20,364.55,5.047159455820315,2023-09-22,359.430195,3.4552,367.0009,49.68,4966.66,2023-10-09,367.1844,SL,12,-26.7927,1.0,-27.7927,-0.005596,False,all
3,QQQ,B,LONG,2023-10-10,368.515,5.803092599513981,2023-10-12,371.96588999999994,3.3194,363.2613,49.39,4937.87,2023-10-18,363.0796,SL,5,-29.4974,1.0,-30.4974,-0.006176,False,all
4,QQQ,B,SHORT,2023-10-20,354.64,5.840443345211595,2023-10-24,357.32125,3.4334,366.0819,49.07,4906.37,2023-11-02,363.6517,ST_FLIP,8,-21.7354,1.0,-22.7354,-0.004634,False,all
5,QQQ,B,SHORT,2024-01-03,398.27,4.50925352022273,2024-01-05,396.191805,3.0816,402.9557,48.84,4882.64,2024-01-08,403.1572,SL,2,-21.4645,1.0,-22.4645,-0.004601,False,all
6,QQQ,B,SHORT,2024-07-17,481.825,6.463594744725535,2024-07-19,478.82047,2.5376,488.5159,48.6,4859.17,2024-08-15,474.6372,ST_FLIP,20,10.6154,1.0,9.6154,0.001979,True,all
7,QQQ,B,LONG,2024-12-03,516.95,6.296256571290096,2024-12-05,523.591665,2.3247,514.1473,48.69,4867.79,2024-12-18,516.3417,ST_FLIP,10,-16.854,1.0,-17.854,-0.003668,False,all
8,QQQ,B,LONG,2025-01-22,531.515,8.65818669306735,2025-01-24,533.1864599999999,2.274,520.1992,48.5,4848.93,2025-01-27,519.9391,SL,2,-30.125,1.0,-31.125,-0.006419,False,all
9,QQQ,B,SHORT,2025-02-24,519.82,7.652497827326801,2025-02-26,515.26224,2.3376,526.741,48.18,4816.81,2025-03-26,484.7823,TIME,20,71.2485,1.0,70.2485,0.014584,True,all
10,QQQ,B,LONG,2025-09-09,580.48,6.353095613807,2025-09-11,583.59165,2.0935,574.062,48.87,4886.06,2025-10-08,611.1443,TIME,20,57.6821,1.0,56.6821,0.011601,True,all
11,QQQ,B,SHORT,2025-10-10,589.62,7.136222584261729,2025-10-14,595.0223400000001,2.0767,605.7267,49.43,4941.74,2025-10-15,606.0295,SL,2,-22.8587,1.0,-23.8587,-0.004828,False,all
12,QQQ,B,LONG,2025-10-27,628.08,8.484497757440675,2025-10-29,635.95782,1.9333,623.2311,49.18,4916.88,2025-11-04,622.9195,SL,5,-25.2065,1.0,-26.2065,-0.00533,False,all
13,QQQ,B,SHORT,2025-11-06,611.69,8.954733975886706,2025-11-10,618.6155375,1.9765,632.0476,48.91,4889.67,2025-12-02,622.301,ST_FLIP,16,-7.2842,1.0,-8.2842,-0.001694,False,all
14,QQQ,B,SHORT,2025-12-17,600.38,9.619503384975914,2025-12-19,611.6240349999999,1.9953,626.0533,48.81,4880.39,2026-01-07,626.3663,SL,12,-29.4146,1.0,-30.4146,-0.006232,False,all
15,QQQ,B,LONG,2026-01-27,631.055,7.79993162968315,2026-01-29,632.966325,1.9156,621.2664,48.5,4848.97,2026-01-29,620.9558,SL,1,-23.0071,1.0,-24.0071,-0.004951,False,all
16,QQQ,B,SHORT,2026-02-04,605.64,9.552948095943666,2026-02-06,599.8099450000001,2.011,614.1394,48.25,4823.97,2026-02-09,614.4464,SL,2,-29.4346,1.0,-30.4346,-0.006309,False,all
