trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period,regime_at_entry,spy_adx_at_entry,spy_trending_at_entry,bb_mid_at_entry,entry_to_mid_dist
2,IWM,C,LONG,2023-10-20,166.495,3.13193673104195,2023-10-23,165.66279,0.8217,162.5309,22.69,2267.66,2023-10-27,162.4496,SL,5,-2.6402,1.0,-3.6402,-0.001605,False,all,corrective,21.33,False,173.2517,-7.589
3,IWM,C,LONG,2024-04-15,195.85,3.5998889952734263,2024-04-16,194.507205,0.6984,190.9073,22.64,2263.02,2024-04-29,199.83,BB_MID,10,3.7174,1.0,2.7174,0.001201,True,all,corrective,18.95,False,204.4773,-9.97
4,IWM,C,LONG,2024-12-18,220.77,4.175498317790974,2024-12-19,223.41165,0.6085,219.2362,22.66,2264.73,2024-12-20,219.1265,SL,2,-2.6075,1.0,-3.6075,-0.001593,False,all,corrective,22.74,False,236.8005,-13.3889
5,IWM,C,LONG,2025-02-21,217.71,3.6058779174480637,2025-02-24,218.89439249999998,0.6198,215.2885,22.61,2260.13,2025-02-24,215.1809,SL,1,-2.3016,1.0,-3.3016,-0.001461,False,all,corrective,9.67,False,226.101,-7.2066
6,IWM,C,LONG,2025-02-25,215.41,3.617491673717973,2025-02-26,216.20805,0.6263,212.5906,22.57,2255.83,2025-02-27,212.4843,SL,2,-2.3322,1.0,-3.3322,-0.001477,False,all,corrective,11.81,False,224.921,-8.713
7,IWM,C,LONG,2025-03-04,206.43,4.187430518180235,2025-03-05,206.493195,0.6545,202.3058,22.52,2251.49,2025-03-07,202.2046,SL,3,-2.8069,1.0,-3.8069,-0.001691,False,all,corrective,19.11,False,221.2158,-14.7226
8,IWM,C,LONG,2025-04-04,181.27,5.595692486240348,2025-04-07,174.31711499999997,0.7737,168.7214,22.48,2246.69,2025-04-21,182.6186,TIME,10,6.4225,1.0,5.4225,0.002414,True,all,corrective,32.07,False,201.641,-27.3239
9,IWM,C,LONG,2025-08-01,214.925,3.595173791145915,2025-08-04,216.60825,0.6238,213.0131,22.52,2251.11,2025-08-12,226.6616,BB_MID,7,6.2716,1.0,5.2716,0.002342,True,all,trending,30.34,True,222.1347,-5.5265
10,IWM,C,LONG,2025-11-13,236.8,4.347968962613954,2025-11-14,233.446665,0.5799,229.0987,22.56,2255.38,2025-11-20,228.9841,SL,5,-2.588,1.0,-3.588,-0.001591,False,all,corrective,13.59,False,244.8445,-11.3978
11,IWM,C,LONG,2026-02-05,255.98,4.5927225209105265,2026-02-06,259.799835,0.52,255.2071,22.52,2250.79,2026-02-06,264.8675,BB_MID,1,2.6354,1.0,1.6354,0.000727,True,all,corrective,12.88,False,262.858,-3.0582
12,IWM,C,LONG,2026-03-06,250.88,5.648948175247673,2026-03-09,247.70379,0.5456,242.0548,22.52,2251.43,2026-03-19,244.9525,EOB,9,-1.5011,1.0,-2.5011,-0.001111,False,all,corrective,18.44,False,262.4905,-14.7867
1,MSFT,C,LONG,2023-09-22,317.02,6.091544961024729,2023-09-25,317.088465,0.43,310.9969,22.73,2271.73,2023-09-26,310.8414,SL,2,-2.6865,1.0,-3.6865,-0.001623,False,all,corrective,16.44,False,329.093,-12.0045
2,MSFT,C,LONG,2024-04-18,404.4,7.114563005575566,2024-04-19,404.212005,0.3367,397.0974,22.68,2267.04,2024-04-22,396.8989,SL,2,-2.462,1.0,-3.462,-0.001527,False,all,corrective,22.2,False,421.1745,-16.9625
3,MSFT,C,LONG,2024-07-25,418.53,8.38213310860386,2024-07-26,418.399095,0.3246,410.017,22.64,2262.58,2024-08-02,409.812,SL,6,-2.7874,1.0,-3.7874,-0.001674,False,all,corrective,37.52,False,450.085,-31.6859
4,MSFT,C,LONG,2024-08-05,395.39,10.418165979915557,2024-08-06,400.01991,0.3388,389.6017,22.59,2257.79,2024-08-15,420.6596,BB_MID,8,6.9928,1.0,5.9928,0.002654,True,all,corrective,37.26,False,435.3148,-35.2948
5,MSFT,C,LONG,2024-10-07,409.47,6.954742986075459,2024-10-08,411.04542,0.3304,404.0907,22.64,2262.78,2024-10-21,418.6905,TIME,10,2.5263,1.0,1.5263,0.000675,True,all,corrective,19.18,False,426.49,-15.4446
6,MSFT,C,LONG,2024-12-31,421.7,7.816427319523742,2025-01-02,425.6577225,0.3192,417.8413,22.64,2263.31,2025-01-02,417.6324,SL,1,-2.5615,1.0,-3.5615,-0.001574,False,all,corrective,25.44,False,439.7817,-14.124
7,MSFT,C,LONG,2025-02-27,392.52,8.30220161523055,2025-02-28,392.95637999999997,0.345,384.6542,22.6,2258.75,2025-03-04,384.4619,SL,3,-2.9309,1.0,-3.9309,-0.00174,False,all,corrective,14.51,False,409.326,-16.3696
8,MSFT,C,LONG,2025-03-11,380.31,9.869575575637082,2025-03-12,383.14147499999996,0.3531,373.2719,22.55,2253.82,2025-03-24,392.4037,BB_MID,9,3.2705,1.0,2.2705,0.001007,True,all,corrective,27.06,False,402.008,-18.8665
