ts,symbol,combo,event,beta_60
2025-02-03,NVDA,C,beta_gate_fail,2.0121836183949187
2025-02-04,NVDA,C,beta_gate_fail,1.9983211662657325
2025-02-05,NVDA,C,beta_gate_fail,2.055280900686105
2025-02-06,NVDA,C,beta_gate_fail,2.0794465562320936
2025-02-07,NVDA,C,beta_gate_fail,2.019183941694452
2025-02-10,NVDA,C,beta_gate_fail,2.025782279563344
2025-02-11,NVDA,C,beta_gate_fail,2.033706141583438
2025-02-12,NVDA,C,beta_gate_fail,2.031623973854147
2025-02-13,NVDA,C,beta_gate_fail,2.0574279454152884
2025-02-14,NVDA,C,beta_gate_fail,2.1284085272916835
2025-02-18,NVDA,C,beta_gate_fail,2.1476179915318547
2025-02-19,NVDA,C,beta_gate_fail,2.119964307137861
2025-02-20,NVDA,C,beta_gate_fail,2.105170205704724
2025-02-21,NVDA,C,beta_gate_fail,2.093264261422759
2025-02-24,NVDA,C,beta_gate_fail,2.1012857354359697
2025-02-25,NVDA,C,beta_gate_fail,2.1097462002959047
2025-02-26,NVDA,C,beta_gate_fail,2.1206757976268378
2025-02-27,NVDA,C,beta_gate_fail,2.2082719010716962
2025-02-28,NVDA,C,beta_gate_fail,2.2152873227905077
2025-03-03,NVDA,C,beta_gate_fail,2.3296542133397873
2025-03-04,NVDA,C,beta_gate_fail,2.3186241297871186
2025-03-05,NVDA,C,beta_gate_fail,2.2825995855453627
2025-03-06,NVDA,C,beta_gate_fail,2.268547513274101
2025-03-07,NVDA,C,beta_gate_fail,2.3085384326799043
2025-03-11,NVDA,C,beta_gate_fail,2.105831551690425
2025-03-12,NVDA,C,beta_gate_fail,2.145663123794249
2025-03-13,NVDA,C,beta_gate_fail,2.10602779203719
2025-03-14,NVDA,C,beta_gate_fail,2.099695496862167
2025-03-17,NVDA,C,beta_gate_fail,2.1081067736969468
2025-03-18,NVDA,C,beta_gate_fail,2.17496696700768
2025-03-19,NVDA,C,beta_gate_fail,2.1564112280686443
2025-03-20,NVDA,C,beta_gate_fail,2.3455608572051445
2025-03-21,NVDA,C,beta_gate_fail,2.3453588546291333
2025-03-24,NVDA,C,beta_gate_fail,2.307990402743372
2025-03-25,NVDA,C,beta_gate_fail,2.297099908208688
2025-03-26,NVDA,C,beta_gate_fail,2.3807369674501624
2025-03-27,NVDA,C,beta_gate_fail,2.3832947017988553
2025-03-28,NVDA,C,beta_gate_fail,2.3006717005038433
2025-03-31,NVDA,C,beta_gate_fail,2.3319496316500263
2025-04-01,NVDA,C,beta_gate_fail,2.3263485717825154
2025-04-02,NVDA,C,beta_gate_fail,2.3169276468282174
2025-04-03,NVDA,C,beta_gate_fail,2.1394779789710614
2025-04-04,NVDA,C,beta_gate_fail,1.9475764853004054
2025-04-07,NVDA,C,beta_gate_fail,1.93156282081484
2025-04-08,NVDA,C,beta_gate_fail,1.915066467717815
2025-04-09,NVDA,C,beta_gate_fail,1.767525262298404
2025-04-10,NVDA,C,beta_gate_fail,1.75206911895587
2025-04-11,NVDA,C,beta_gate_fail,1.750142156732587
2025-04-14,NVDA,C,beta_gate_fail,1.7521031626097512
2025-04-15,NVDA,C,beta_gate_fail,1.7517364777423396
2025-04-16,NVDA,C,beta_gate_fail,1.7651014392949183
2025-04-17,NVDA,C,beta_gate_fail,1.7605746195523202
2025-04-21,NVDA,C,beta_gate_fail,1.7520722064500827
2025-04-22,NVDA,C,beta_gate_fail,1.732689791495178
2025-04-23,NVDA,C,beta_gate_fail,1.7298565682198415
2025-04-24,NVDA,C,beta_gate_fail,1.6247409902617014
2025-04-25,NVDA,C,beta_gate_fail,1.604088692943163
2025-04-28,NVDA,C,beta_gate_fail,1.6023220882590024
2025-04-29,NVDA,C,beta_gate_fail,1.6002185664841377
2025-04-30,NVDA,C,beta_gate_fail,1.6000040715868615
2025-05-01,NVDA,C,beta_gate_fail,1.5981119070502918
2025-05-02,NVDA,C,beta_gate_fail,1.599293599115003
2025-05-05,NVDA,C,beta_gate_fail,1.5919071790776567
2025-05-06,NVDA,C,beta_gate_fail,1.5854669241364088
2025-05-07,NVDA,C,beta_gate_fail,1.5981919421864184
2025-05-08,NVDA,C,beta_gate_fail,1.5907549354110155
2025-05-09,NVDA,C,beta_gate_fail,1.5905603227145775
2025-05-12,NVDA,C,beta_gate_fail,1.5795607017836009
2025-05-13,NVDA,C,beta_gate_fail,1.5894350663687027
2025-05-14,NVDA,C,beta_gate_fail,1.5928029551430836
2025-05-15,NVDA,C,beta_gate_fail,1.5926357006998326
2025-05-16,NVDA,C,beta_gate_fail,1.5920185981130468
2025-05-19,NVDA,C,beta_gate_fail,1.5934968420828615
2025-05-20,NVDA,C,beta_gate_fail,1.5886801499787573
2025-05-21,NVDA,C,beta_gate_fail,1.5840519728496278
2025-05-22,NVDA,C,beta_gate_fail,1.5805328348617225
2025-05-23,NVDA,C,beta_gate_fail,1.5781297036684725
2025-05-27,NVDA,C,beta_gate_fail,1.540348439337274
2025-05-28,NVDA,C,beta_gate_fail,1.5344040607080103
2025-05-30,NVDA,C,beta_gate_fail,1.5046906666533242
2025-06-02,NVDA,C,beta_gate_fail,1.5089543453428746
2025-06-05,NVDA,C,beta_gate_fail,1.526478340429
2025-06-06,NVDA,C,beta_gate_fail,1.5122980544856077
