trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period
10,GOOGL,C,LONG,2026-02-13,305.71,9.725225530558854,2026-02-17,300.19002,6.9265,290.4648,83.17,8316.06,2026-03-02,306.0869,TIME,10,40.8446,1.0,39.8446,0.004791,True,all
1,QQQ,C,LONG,2023-09-21,357.78,5.175219494690295,2023-09-22,359.789805,5.7904,354.6146,83.33,8332.33,2023-09-26,354.4373,SL,3,-30.9934,1.0,-31.9934,-0.00384,False,all
2,QQQ,C,LONG,2023-10-26,343.62,6.240027654690446,2023-10-27,346.63322999999997,5.9864,340.3932,83.0,8299.34,2023-11-02,363.2883,BB_MID,5,99.7037,1.0,98.7037,0.011893,True,all
3,QQQ,C,LONG,2024-04-17,425.76,6.409103708164241,2024-04-18,426.73326,4.92,420.3242,83.98,8397.04,2024-04-19,420.114,SL,2,-32.5665,1.0,-33.5665,-0.003997,False,all
4,QQQ,C,LONG,2024-07-24,463.35,7.4634229386442,2024-07-25,463.95186,4.5067,456.4884,83.63,8362.48,2024-07-25,456.2602,SL,1,-34.6637,1.0,-35.6637,-0.004265,False,all
5,QQQ,C,LONG,2024-08-05,435.805,10.801357190053718,2024-08-06,437.85882,4.7543,427.0575,83.27,8325.81,2024-08-13,462.3487,BB_MID,6,116.4318,1.0,115.4318,0.013864,True,all
6,QQQ,C,LONG,2025-02-27,500.33,8.658927742943506,2025-02-28,500.10992999999996,4.2197,491.451,84.41,8440.25,2025-03-04,491.2053,SL,3,-37.5749,1.0,-38.5749,-0.00457,False,all
7,QQQ,C,LONG,2025-03-11,471.68,11.758312816352845,2025-03-12,479.3895749999999,4.3814,467.6313,84.02,8400.67,2025-03-13,467.3974,SL,2,-52.5428,1.0,-53.5428,-0.006374,False,all
8,QQQ,C,LONG,2025-04-03,450.7,11.6241975517496,2025-04-04,438.449115,4.7595,426.8249,83.47,8346.13,2025-04-04,426.6115,SL,1,-56.3407,1.0,-57.3407,-0.00687,False,all
9,QQQ,C,LONG,2025-04-07,423.79,14.75096625635552,2025-04-08,438.42410249999995,4.7265,423.6731,82.89,8287.79,2025-04-08,423.4613,SL,1,-70.7212,1.0,-71.7212,-0.008654,False,all
10,QQQ,C,LONG,2025-11-20,585.82,11.784349258381264,2025-11-21,587.623665,3.4955,575.8393,82.16,8215.07,2025-11-26,613.9629,BB_MID,4,92.0677,1.0,91.0677,0.011085,True,all
11,QQQ,C,LONG,2026-01-20,607.93,8.031591112147852,2026-01-21,609.6246600000001,3.4062,601.5931,83.06,8305.13,2026-01-22,620.4996,BB_MID,2,37.0427,1.0,36.0427,0.00434,True,all
12,QQQ,C,LONG,2026-02-04,605.64,9.552948095943666,2026-02-05,600.169935,3.4745,590.617,83.41,8340.18,2026-02-19,603.0983,TIME,10,10.1746,1.0,9.1746,0.0011,True,all
13,QQQ,C,LONG,2026-03-13,593.61,10.514347787278545,2026-03-16,600.350025,3.4769,589.8357,83.49,8348.35,2026-03-18,594.5226,EOB,3,-20.2612,1.0,-21.2612,-0.002547,False,all
