ts,symbol,combo,event,direction,close,ema21,bars_in_window,close_above_ema21,vol_gate,adx_gate,vol_ratio,adx14,ema50
2025-12-22,NVDA,A,ema50_break_in_window,SHORT,183.675,,1.0,,,,,,182.4318564584466
2026-01-08,NVDA,A,trigger_armed,LONG,185.09,185.33405594760262,,,,,,,
2026-01-09,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,False,0.7837505513550211,10.830004512455485,
2026-01-12,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,False,False,0.8209078934544897,10.312466762089386,
2026-01-13,NVDA,A,window_bar_no_confirm,LONG,,,3.0,True,False,False,1.054650137102692,10.079354635439913,
2026-01-14,NVDA,A,ema50_break_in_window,LONG,183.3,,4.0,,,,,,184.44474228081168
2026-02-02,NVDA,A,trigger_armed,LONG,185.66,186.81235726614509,,,,,,,
2026-02-03,NVDA,A,ema50_break_in_window,LONG,180.28,,1.0,,,,,,185.29533876115298
2026-03-10,NVDA,A,trigger_armed,SHORT,184.765,184.45745226374476,,,,,,,
2026-03-11,NVDA,A,ema50_break_in_window,SHORT,186.01,,1.0,,,,,,184.96785027695705
2023-10-06,AAPL,A,trigger_armed,SHORT,177.49,175.4898115568524,,,,,,,
2023-10-09,AAPL,A,ema50_break_in_window,SHORT,179.01,,1.0,,,,,,178.3697612932772
2023-11-01,AAPL,A,trigger_armed,SHORT,173.92,173.52827556155987,,,,,,,
2023-11-02,AAPL,A,ema50_break_in_window,SHORT,177.65,,1.0,,,,,,176.15823706783792
2023-12-26,AAPL,A,trigger_armed,LONG,193.09,193.1031458965376,,,,,,,
2023-12-27,AAPL,A,confirmed,LONG,193.19,193.11104172412507,1.0,,,,0.7314013030225789,27.86339180304701,
2024-03-20,AAPL,A,trigger_armed,SHORT,178.61,176.46098936020593,,,,,,,
2024-03-21,AAPL,A,confirmed,SHORT,171.38,175.99908123655086,1.0,,,,1.6035467883441046,27.183131234773853,
2024-04-25,AAPL,A,trigger_armed,SHORT,169.94,169.864894457242,,,,,,,
2024-04-26,AAPL,A,window_bar_no_confirm,SHORT,,,1.0,True,False,False,0.5539895333918144,12.625844329830443,
2024-04-29,AAPL,A,window_bar_no_confirm,SHORT,,,2.0,False,False,False,1.2118753917704936,13.609879997418817,
2024-04-30,AAPL,A,window_bar_no_confirm,SHORT,,,3.0,True,False,False,0.6235253950385594,13.46404443816461,
2024-05-01,AAPL,A,window_bar_no_confirm,SHORT,,,4.0,True,False,False,0.6086588706302973,13.044616354667646,
2024-05-02,AAPL,A,window_bar_no_confirm,SHORT,,,5.0,False,False,False,1.2872472712200065,12.854671158691497,
2024-05-03,AAPL,A,ema50_break_in_window,SHORT,183.36,,6.0,,,,,,173.6051879246938
2024-07-24,AAPL,A,trigger_armed,LONG,218.585,222.0151049217658,,,,,,,
2024-07-25,AAPL,A,window_bar_no_confirm,LONG,,,1.0,False,False,True,0.8915454056911536,36.07896696161307,
2024-07-26,AAPL,A,window_bar_no_confirm,LONG,,,2.0,False,False,True,0.9231703792370494,34.31015282283147,
2024-07-29,AAPL,A,window_bar_no_confirm,LONG,,,3.0,False,False,True,0.5689218911597236,32.72086059486428,
2024-07-30,AAPL,A,window_bar_no_confirm,LONG,,,4.0,False,False,True,0.8578901307188533,30.96843364873996,
2024-07-31,AAPL,A,window_bar_no_confirm,LONG,,,5.0,True,False,True,0.8467093165649796,29.07933866776967,
2024-08-01,AAPL,A,window_expired,LONG,,,6.0,,,,,,
2024-09-03,AAPL,A,trigger_armed,LONG,222.72,224.09423791607568,,,,,,,
2024-09-04,AAPL,A,window_bar_no_confirm,LONG,,,1.0,False,True,False,1.785707937258865,14.572679987063678,
2024-09-05,AAPL,A,window_bar_no_confirm,LONG,,,2.0,False,False,False,0.9357852484701296,13.972168871708067,
2024-09-06,AAPL,A,window_bar_no_confirm,LONG,,,3.0,False,False,False,1.4531251330465793,13.772255943581932,
2024-09-09,AAPL,A,window_bar_no_confirm,LONG,,,4.0,False,True,False,2.1214711272017324,14.15687997151579,
2024-09-10,AAPL,A,window_bar_no_confirm,LONG,,,5.0,False,False,False,1.232254952905617,14.457457257247004,
2024-09-11,AAPL,A,window_expired,LONG,,,6.0,,,,,,
2024-10-30,AAPL,A,trigger_armed,LONG,230.16,230.74575015387123,,,,,,,
2024-10-31,AAPL,A,ema50_break_in_window,LONG,225.73,,1.0,,,,,,227.04740522195613
2025-01-02,AAPL,A,trigger_armed,LONG,243.82,248.2269786032155,,,,,,,
2025-01-03,AAPL,A,window_bar_no_confirm,LONG,,,1.0,False,False,True,1.2990971735584789,36.57746043323221,
2025-01-06,AAPL,A,window_bar_no_confirm,LONG,,,2.0,False,False,True,1.0585799148701913,34.023930931832076,
2025-01-07,AAPL,A,window_bar_no_confirm,LONG,,,3.0,False,False,True,1.1195541835384677,32.113504215720276,
2025-01-08,AAPL,A,window_bar_no_confirm,LONG,,,4.0,False,False,True,0.9342467303171101,30.6080171447479,
2025-01-10,AAPL,A,ema50_break_in_window,LONG,236.76,,5.0,,,,,,241.00823854767174
2025-04-02,AAPL,A,trigger_armed,SHORT,223.8,223.50545858788175,,,,,,,
2025-04-03,AAPL,A,confirmed,SHORT,203.01,221.64223507989252,1.0,,,,1.9926082453015184,22.85967951746316,
2025-04-23,AAPL,A,trigger_armed,SHORT,204.33,203.38921401452006,,,,,,,
2025-04-24,AAPL,A,window_bar_no_confirm,SHORT,,,1.0,False,False,True,0.4245234107240079,25.238160137108814,
