ts,symbol,combo,event,spy_close,spy_ema50,beta_60
2023-08-25,META,C,spy_below_ema50,439.98,441.1294251412962,
2023-09-15,META,C,spy_below_ema50,443.305,443.811691574291,
2023-09-18,META,C,beta_gate_fail,,,1.510006313313532
2023-09-19,META,C,beta_gate_fail,,,1.5529551840984965
2023-09-20,META,C,beta_gate_fail,,,1.5102072302244565
2023-09-21,META,C,spy_below_ema50,431.3,443.0721987327745,
2023-09-22,META,C,spy_below_ema50,430.28,442.57054388050886,
2023-09-25,META,C,spy_below_ema50,432.23,442.165032355783,
2023-09-26,META,C,spy_below_ema50,425.84,441.5248350084974,
2023-09-27,META,C,spy_below_ema50,425.925,440.91307677287006,
2023-09-28,META,C,spy_below_ema50,428.51,440.42668160530656,
2023-09-29,META,C,spy_below_ema50,427.3,439.9119097776475,
2023-10-02,META,C,spy_below_ema50,427.36,439.41967802166135,
2023-10-03,META,C,spy_below_ema50,421.68,438.7240043737531,
2023-10-04,META,C,spy_below_ema50,424.705,438.174239496351,
2023-10-05,META,C,spy_below_ema50,424.31,437.63054382982745,
2023-10-06,META,C,spy_below_ema50,429.44,437.3093460325793,
2023-10-09,META,C,spy_below_ema50,432.24,437.11054814894874,
2023-10-10,META,C,spy_below_ema50,434.47,437.00699724114685,
2023-10-11,META,C,spy_below_ema50,436.33,436.98044832972937,
2023-10-12,META,C,spy_below_ema50,433.68,436.85101898346545,
2023-10-13,META,C,spy_below_ema50,431.625,436.64607706254526,
2023-10-16,META,C,spy_below_ema50,436.04,436.62230933460233,
2023-10-17,META,C,spy_below_ema50,436.11,436.6022187724611,
2023-10-18,META,C,spy_below_ema50,430.24,436.35271999707044,
2023-10-19,META,C,spy_below_ema50,426.43,435.96359372267557,
2023-10-20,META,C,spy_below_ema50,421.25,435.3865900472765,
2023-10-23,META,C,spy_below_ema50,420.52,434.8035865160108,
2023-10-24,META,C,spy_below_ema50,423.56,434.3626615545986,
2023-10-25,META,C,spy_below_ema50,417.62,433.70608659167317,
2023-10-26,META,C,spy_below_ema50,412.6,432.8783969214115,
2023-10-27,META,C,beta_gate_fail,,,1.5091760507679817
2023-10-30,META,C,beta_gate_fail,,,1.5120195013827114
2023-10-31,META,C,spy_below_ema50,418.18,430.8517924433826,
2023-11-01,META,C,beta_gate_fail,,,1.5148841139747995
2024-02-02,META,C,beta_gate_fail,,,1.6221845963775687
2024-02-05,META,C,beta_gate_fail,,,1.663588211396389
2024-02-06,META,C,beta_gate_fail,,,1.6718702709502338
2024-02-07,META,C,beta_gate_fail,,,1.724627476929718
2024-02-08,META,C,beta_gate_fail,,,1.800502956471406
2024-02-09,META,C,beta_gate_fail,,,1.7642603837708257
2024-02-12,META,C,beta_gate_fail,,,1.842391457683324
2024-02-13,META,C,beta_gate_fail,,,1.8057766162923303
2024-02-14,META,C,beta_gate_fail,,,1.8178975681183682
2024-02-15,META,C,beta_gate_fail,,,1.820638949281576
2024-02-16,META,C,beta_gate_fail,,,1.8686697153531913
2024-02-20,META,C,beta_gate_fail,,,1.8517013776756535
2024-02-21,META,C,beta_gate_fail,,,1.8538323404507047
2024-02-22,META,C,beta_gate_fail,,,1.7409077498479486
2024-02-23,META,C,beta_gate_fail,,,1.7357689102649203
2024-02-26,META,C,beta_gate_fail,,,1.7382977252672653
2024-02-27,META,C,beta_gate_fail,,,1.7264800316700772
2024-02-28,META,C,beta_gate_fail,,,1.7154231508162694
2024-02-29,META,C,beta_gate_fail,,,1.7077832317127049
2024-03-01,META,C,beta_gate_fail,,,1.694300234142161
2024-03-04,META,C,beta_gate_fail,,,1.701692063118452
2024-03-05,META,C,beta_gate_fail,,,1.664886572909497
2024-03-06,META,C,beta_gate_fail,,,1.6608213063706585
2024-03-07,META,C,beta_gate_fail,,,1.6644310963612516
2024-03-08,META,C,beta_gate_fail,,,1.691708832331739
2024-03-11,META,C,beta_gate_fail,,,1.721990376843994
2024-03-12,META,C,beta_gate_fail,,,1.7747895925958874
2024-03-13,META,C,beta_gate_fail,,,1.769770607087982
2024-03-14,META,C,beta_gate_fail,,,1.7788723370055868
2024-03-15,META,C,beta_gate_fail,,,1.7642404065761161
2024-03-18,META,C,beta_gate_fail,,,1.7713415456969903
2024-03-19,META,C,beta_gate_fail,,,1.823004297383464
2024-03-20,META,C,beta_gate_fail,,,1.8330187913903562
2024-03-21,META,C,beta_gate_fail,,,1.8297486590020247
2024-03-22,META,C,beta_gate_fail,,,1.8377855865401014
2024-03-25,META,C,beta_gate_fail,,,1.8457935817066946
2024-03-26,META,C,beta_gate_fail,,,1.8540777232528993
2024-03-27,META,C,beta_gate_fail,,,1.8420353358419777
2024-03-28,META,C,beta_gate_fail,,,1.8697630730115593
2024-04-01,META,C,beta_gate_fail,,,1.8969837619397547
2024-04-02,META,C,beta_gate_fail,,,1.8642628114669644
2024-04-03,META,C,beta_gate_fail,,,1.8664226875927479
2024-04-04,META,C,beta_gate_fail,,,1.8476852367897585
2024-04-05,META,C,beta_gate_fail,,,1.8580247427624403
2024-04-08,META,C,beta_gate_fail,,,1.8430449978252341
2024-04-09,META,C,beta_gate_fail,,,1.8378128469689512
